Jaar;Maand;dag;Periode;Begin;End;Baseline;Actual;"Verschil(Basislijn - Actueel) (GJ)";Inbegrepen
2013;9;30;52;1-9-2013;30-9-2013;473,8097809;451;;True
2013;10;31;53;1-10-2013;31-10-2013;800,2922605;890;;True
2013;11;30;54;1-11-2013;30-11-2013;1688,4017;1746;;True
2013;12;31;55;1-12-2013;31-12-2013;1924,479788;1920;;True
2014;1;31;56;1-1-2014;31-1-2014;1883,173524;1920;;True
2014;2;28;57;1-2-2014;28-2-2014;1612,504025;1621;;True
2014;3;31;58;1-3-2014;31-3-2014;1388,765707;1246;;True
2014;4;30;59;1-4-2014;30-4-2014;752,7678801;679;;True
2014;5;31;60;1-5-2014;31-5-2014;603,524239;640;;True
2014;6;30;61;1-6-2014;30-6-2014;208,1354007;312;;True
2014;7;31;62;1-7-2014;31-7-2014;94,3306566;89;;True
2014;8;31;63;1-8-2014;31-8-2014;300,815038;217;;True
2014;9;30;64;1-9-2014;30-9-2014;253,0559629;156;97,05596289;True
2014;10;31;65;1-10-2014;31-10-2014;681,818385;420;261,818385;True
2014;11;30;66;1-11-2014;30-11-2014;1413,480349;745;668,4803494;True
2014;12;31;67;1-12-2014;31-12-2014;2069,051712;1460;609,0517123;True
2015;1;31;68;1-1-2015;31-1-2015;2206,676674;1469;737,6766739;True
2015;2;28;69;1-2-2015;28-2-2015;2005,148229;1355;650,1482286;True
2015;3;31;70;1-3-2015;31-3-2015;1720,06072;1034;686,0607199;True
2015;4;30;71;1-4-2015;30-4-2015;1206,855151;586;620,8551512;True
2015;5;31;72;1-5-2015;31-5-2015;721,7634199;331;390,7634199;True
2015;6;30;73;1-6-2015;30-6-2015;289,1050661;180;109,1050661;True
2015;7;31;74;1-7-2015;31-7-2015;150,7981971;77;73,79819713;True
2015;8;31;75;1-8-2015;31-8-2015;112,2613303;57;55,26133032;True
2015;9;30;76;1-9-2015;30-9-2015;577,6387083;263;314,6387083;True
2015;10;31;77;1-10-2015;31-10-2015;1169,466996;735;434,4669956;True
2015;11;30;78;1-11-2015;30-11-2015;1176,90811;1048;128,9081097;True
2015;12;31;79;1-12-2015;31-12-2015;1390,784081;1012;378,7840809;True
2016;1;31;80;1-1-2016;31-1-2016;2008,547423;1375;633,5474232;True
2016;2;29;81;1-2-2016;29-2-2016;1886,649591;1172;714,6495908;True
2016;3;31;82;1-3-2016;31-3-2016;1874,677577;1166;708,6775765;True
2016;4;30;83;1-4-2016;30-4-2016;1290,969725;738;552,9697253;True
2016;5;31;84;1-5-2016;31-5-2016;495,1422348;304;191,1422348;True
2016;6;30;85;1-6-2016;30-6-2016;186,8251236;107;79,82512358;True
2016;7;31;86;1-7-2016;31-7-2016;124,8879042;57;67,88790422;True
2016;8;31;87;1-8-2016;31-8-2016;124,277698;98;26,27769804;True
2016;9;30;88;1-9-2016;30-9-2016;150,9637761;60;90,96377615;True
2016;10;31;89;1-10-2016;31-10-2016;1148,485291;774;374,485291;True
2016;11;30;90;1-11-2016;30-11-2016;1733,463079;1354;379,463079;True
2016;12;31;91;1-12-2016;31-12-2016;2096,08854;1370,6;725,4885397;True
2017;1;31;92;1-1-2017;31-1-2017;2610,069894;1793;817,0698936;True
2017;2;28;93;1-2-2017;28-2-2017;1698,824729;1175;523,8247294;True
2017;3;31;94;1-3-2017;31-3-2017;1330,608364;842;488,6083643;True
2017;4;30;95;1-4-2017;30-4-2017;1285,290114;746;539,290114;True
2017;5;31;96;1-5-2017;31-5-2017;467,8707127;311;156,8707127;True
2017;6;30;97;1-6-2017;30-6-2017;94,26154094;79;15,26154094;True
2017;7;31;98;1-7-2017;31-7-2017;95,17555745;79;16,17555745;True
2017;8;31;99;1-8-2017;31-8-2017;99,25924492;97,9;1,359244924;True
2017;9;30;100;1-9-2017;30-9-2017;451,7484808;213,3;238,4484808;True
2017;10;31;101;1-10-2017;31-10-2017;674,6836666;322;352,6836666;True
2017;11;30;102;1-11-2017;30-11-2017;1587,295231;979;608,295231;True
2017;12;31;103;1-12-2017;31-12-2017;1992,916757;1455;537,9167574;True
2018;1;31;104;1-1-2018;31-1-2018;1814,361043;1305,7;508,6610432;True
2018;2;28;105;1-2-2018;28-2-2018;2346,159602;1436,8;909,3596018;True
2018;3;31;106;1-3-2018;31-3-2018;1920,114467;1143,7;776,414467;True
2018;4;30;107;1-4-2018;30-4-2018;729,6269845;398,8;330,8269845;True
2018;5;31;108;1-5-2018;31-5-2018;343,2478365;158,9;184,3478365;True
2018;6;30;109;1-6-2018;30-6-2018;126,8371628;47,8;79,03716282;True
2018;7;31;110;1-7-2018;31-7-2018;65,32239388;9,5;55,82239388;True
2018;8;31;111;1-8-2018;31-8-2018;100,4796573;28;72,47965727;True
2018;9;30;112;1-9-2018;30-9-2018;372,6563729;152,6;220,0563729;True
2018;10;31;113;1-10-2018;31-10-2018;784,5207779;539,4;245,1207779;True
2018;11;30;114;1-11-2018;30-11-2018;1593,725865;1008,2;585,5258653;True
2018;12;31;115;1-12-2018;31-12-2018;1822,481479;1171,2;651,2814792;True
2019;1;31;116;1-1-2019;31-1-2019;2243,899251;1388,1;855,7992505;True
2019;2;28;117;1-2-2019;28-2-2019;1612,832598;755,1;857,7325979;True
2019;3;31;118;1-3-2019;31-3-2019;1391,628982;659,1;732,5289817;True
2019;4;30;119;1-4-2019;30-4-2019;950,756314;403,9;546,856314;True
2019;5;31;120;1-5-2019;31-5-2019;786,63303;342,9;443,73303;True
